Date,Open,High,Low,Close,Volume,AdjClose
2008-02-11,48.550001,49.000001,44.500001,44.74,5043700,692.608472
2008-02-08,51.48,51.490003,49.89,50.68,940300,784.564081
2008-02-07,51.790003,52.409998,50.950001,51.650001,933100,799.580421
2008-02-06,53.190003,53.58,51.940003,52.100001,839300,806.546756
2008-02-05,54.88,54.88,52.659998,52.93,986300,819.395755
2008-02-04,55.520002,55.959998,55.020002,55.43,462400,858.097614
2008-02-01,55.059998,56.600001,54.309998,55.73,818800,862.741837
2008-01-31,53.390003,55.709998,52.950001,54.970002,1276700,850.97651
2008-01-30,56.500001,57.000001,54.000001,54.370002,1093000,841.688064
2008-01-29,55.070002,57.53,54.690003,56.73,876600,878.222581
2008-01-28,53.050001,54.909998,52.640003,54.750001,727600,847.570727
2008-01-25,55.68,55.990003,53.000001,53.220002,893900,823.885208
2008-01-24,55.28,56.600001,54.550001,55.040003,856800,852.060181
2008-01-23,50.53,55.400001,49.900001,54.809998,1351600,848.499534
2008-01-22,49.44,53.800001,49.400001,52.409998,1451600,811.345749
2008-01-18,54.550001,55.500001,50.570002,52.050001,1909000,805.772719
2008-01-17,58.059998,58.659998,53.959998,54.270002,1430500,840.139989
2008-01-16,57.48,59.020002,57.220002,57.909998,906700,896.48984
2008-01-15,58.700001,58.890003,57.170002,57.859998,742900,895.715803
2008-01-14,58.259998,59.420002,57.53,59.320002,668300,918.317746
2008-01-11,57.209998,59.250001,56.709998,57.68,897100,892.929288
2008-01-10,55.940003,58.920002,55.520002,57.809998,1135100,894.941766
2008-01-09,55.700001,56.600001,54.259998,56.48,964100,874.352395
2008-01-08,56.950001,57.250001,55.409998,55.550001,959900,859.955322
2008-01-07,55.550001,56.790003,55.200001,56.300001,839100,871.56588
2008-01-04,55.800001,56.670002,55.200001,55.300001,712800,856.085136
2008-01-03,56.300001,57.359998,56.170002,56.450001,542600,873.887992
2008-01-02,58.590003,59.070002,56.200001,56.300001,734100,871.56588
